houseValue,income,houseAge,rooms,bedrooms,population,households,latitude,longitude
255000,3.0233000,26,3959,1196,1749,1217,37.8200000,-122.2500000
224100,3.1484000,52,2376,559,939,519,37.8300000,-122.2500000
243100,3.4722000,35,1613,428,675,422,37.8300000,-122.2500000
231600,3.1429000,52,1279,287,534,291,37.8300000,-122.2500000
218500,2.4234000,28,5022,1750,2558,1661,37.8300000,-122.2500000
234100,3.0897000,52,4190,1105,1786,1037,37.8300000,-122.2500000
327600,5.8596000,50,2515,399,970,373,37.8400000,-122.2300000
347600,5.2868000,47,3175,454,1098,485,37.8400000,-122.2300000
366100,5.9560000,41,2576,406,794,376,37.8300000,-122.2400000
335000,4.9643000,37,334,54,98,47,37.8500000,-122.2400000
373600,6.3434000,52,2800,411,1061,403,37.8500000,-122.2300000
389500,5.1773000,52,3529,574,1177,555,37.8400000,-122.2400000
391100,7.2354000,52,2612,365,901,367,37.8500000,-122.2400000
337300,5.4570000,28,5287,1048,2031,956,37.8500000,-122.2200000
295200,7.5000000,50,2935,473,1031,479,37.8400000,-122.2200000
292300,6.0194000,44,3424,597,1358,597,37.8400000,-122.2100000
411500,7.5544000,40,4991,674,1616,654,37.8300000,-122.2100000
311500,6.0666000,30,2211,346,844,343,37.8400000,-122.2000000
325900,7.0548000,34,3038,490,1140,496,37.8400000,-122.2100000
392600,11.6017000,18,1617,210,533,194,37.8400000,-122.1900000
319300,7.4882000,35,2865,460,1072,443,37.8400000,-122.2000000
333300,6.8976000,34,5065,788,1627,766,37.8300000,-122.2100000
335200,8.2049000,28,1326,184,463,190,37.8300000,-122.1900000
351200,8.4010000,26,1589,223,542,211,37.8300000,-122.2000000
368900,6.8538000,29,1791,271,661,269,37.8300000,-122.1900000
365900,8.3170000,32,1835,264,635,263,37.8200000,-122.1900000
366700,7.0175000,37,1229,181,420,176,37.8200000,-122.2000000
362800,6.3302000,39,3770,534,1265,500,37.8200000,-122.2000000
483300,6.3624000,30,292,38,126,52,37.8100000,-122.1800000
331400,7.0549000,52,2375,333,813,350,37.8200000,-122.2100000
323500,6.7851000,45,2964,436,1067,426,37.8100000,-122.2000000
216700,2.8929000,50,2833,605,1260,552,37.8000000,-122.2100000
233100,3.0812000,38,2254,535,951,487,37.8000000,-122.2100000
296400,5.2402000,52,1389,212,510,224,37.8100000,-122.2100000
273700,6.5217000,52,1971,335,765,308,37.8100000,-122.2200000
227700,3.2632000,52,2183,465,1129,460,37.8000000,-122.2200000
199600,3.0298000,52,2286,464,1073,441,37.8000000,-122.2200000
239800,4.5428000,52,2721,541,1185,515,37.8000000,-122.2200000
270100,4.0720000,52,2024,339,756,340,37.8100000,-122.2200000
302100,5.3509000,52,2944,536,1034,521,37.8100000,-122.2200000
269500,3.1603000,52,2033,486,787,459,37.8000000,-122.2300000
314700,4.7708000,52,1433,229,612,213,37.8100000,-122.2300000
390100,8.1564000,52,2927,402,1021,380,37.8100000,-122.2200000
410300,8.8793000,52,2315,292,861,258,37.8100000,-122.2300000
352400,6.8591000,52,2485,313,953,327,37.8100000,-122.2400000
287300,6.0302000,52,1490,238,634,256,37.8100000,-122.2400000
348700,7.5080000,52,2814,365,878,352,37.8100000,-122.2300000
243800,2.7477000,52,2093,550,918,483,37.8100000,-122.2400000
211500,2.1944000,52,888,168,360,175,37.8000000,-122.2400000
218400,3.0149000,52,2087,510,1197,488,37.8000000,-122.2500000
269900,3.6750000,52,2513,502,1048,518,37.8100000,-122.2400000
218800,3.2250000,46,3232,835,1373,747,37.8100000,-122.2500000
225000,2.9345000,42,4120,1065,1715,1015,37.8000000,-122.2500000
250000,2.1429000,43,2364,792,1359,722,37.8000000,-122.2500000
171400,1.6121000,41,1471,469,1062,413,37.8000000,-122.2500000
193800,1.3929000,29,2468,864,1335,773,37.8000000,-122.2500000
125000,2.3173000,27,1632,492,1171,429,37.7900000,-122.2400000
97500,1.7772000,45,1786,526,1475,460,37.7900000,-122.2500000
125000,2.6458000,50,629,188,742,196,37.7900000,-122.2500000
138800,2.1810000,52,1339,391,1086,363,37.7900000,-122.2500000
116700,2.2303000,36,1678,606,1645,543,37.8000000,-122.2500000
151800,1.6504000,43,2344,647,1710,644,37.8000000,-122.2500000
127000,2.2697000,52,996,228,731,228,37.8000000,-122.2400000
128600,2.1563000,52,1591,373,1118,347,37.8000000,-122.2400000
140600,2.1348000,52,1586,398,1006,335,37.8000000,-122.2400000
182700,2.6292000,47,2046,588,1213,554,37.8000000,-122.2400000
146900,2.3833000,52,1192,289,772,257,37.8000000,-122.2300000
122800,2.9570000,52,1803,420,1321,401,37.8000000,-122.2400000
169300,2.5238000,49,2838,749,1487,677,37.8000000,-122.2400000
126600,1.9375000,52,783,184,488,186,37.8000000,-122.2300000
127900,1.9028000,51,1590,414,949,392,37.8000000,-122.2300000
123500,2.2500000,50,1746,480,1149,415,37.8000000,-122.2300000
111900,2.3929000,52,1252,299,844,280,37.8000000,-122.2300000
112800,2.1917000,43,5963,1344,4367,1231,37.7900000,-122.2300000
107900,2.9357000,52,1783,395,1659,412,37.7900000,-122.2300000
137500,1.8854000,30,999,264,1011,263,37.7900000,-122.2300000
105500,2.1638000,39,1469,431,1464,389,37.7900000,-122.2400000
95500,2.1250000,47,1372,395,1237,303,37.7900000,-122.2400000
116100,3.3750000,52,674,180,647,168,37.7900000,-122.2400000
112200,2.2542000,43,1626,376,1284,357,37.7900000,-122.2400000
75000,2.1000000,51,175,43,228,55,37.7900000,-122.2500000
112500,1.6000000,39,461,129,381,123,37.7900000,-122.2500000
125000,3.6250000,52,902,237,846,227,37.7900000,-122.2500000
115000,1.6929000,20,2373,779,1659,676,37.8000000,-122.2600000
95000,1.6471000,52,391,128,520,138,37.7700000,-122.2200000
96400,2.5900000,52,1137,301,866,259,37.7700000,-122.2200000
72000,2.5700000,52,769,206,612,183,37.7700000,-122.2300000
71300,2.6429000,52,472,146,415,126,37.7800000,-122.2300000
80800,3.0257000,52,862,215,994,213,37.7800000,-122.2300000
128800,1.4886000,50,1920,530,1525,477,37.7800000,-122.2200000
112500,1.9338000,43,1420,472,1506,438,37.7800000,-122.2300000
119400,1.4844000,52,986,258,1008,255,37.7800000,-122.2300000
118100,1.6009000,44,2340,825,2813,751,37.7800000,-122.2300000
122500,2.0375000,48,1696,396,1481,343,37.7900000,-122.2300000
106300,2.2930000,49,1175,217,859,219,37.7900000,-122.2300000
132500,2.1494000,37,2343,574,1608,523,37.7900000,-122.2200000
122700,1.6198000,30,610,145,425,140,37.7900000,-122.2300000
113300,1.3281000,40,930,199,564,184,37.7900000,-122.2300000
109500,3.5156000,44,1487,314,961,272,37.7900000,-122.2200000
164700,3.9048000,52,3424,690,2273,685,37.7900000,-122.2200000
125000,3.0893000,52,762,190,600,195,37.7900000,-122.2100000
124700,2.6042000,46,2366,575,1647,527,37.7900000,-122.2200000
136700,2.5000000,49,1826,450,1201,424,37.7900000,-122.2200000
141700,2.7969000,38,3049,711,2167,659,37.7900000,-122.2200000
150000,2.8321000,29,1640,376,939,340,37.7900000,-122.2000000
138800,2.9583000,47,1543,307,859,292,37.7900000,-122.2100000
139200,2.8365000,34,2364,557,1517,516,37.7900000,-122.2100000
143800,2.8750000,35,1745,409,1143,386,37.7900000,-122.2100000
156500,3.0682000,39,2003,500,1109,464,37.8000000,-122.2100000
151000,3.0757000,39,2018,447,1221,446,37.8000000,-122.2100000
273000,4.9559000,43,3045,499,1115,455,37.8000000,-122.2000000
217100,4.7721000,52,1547,293,706,268,37.8000000,-122.2000000
187100,3.4861000,52,3519,711,1883,706,37.8000000,-122.2100000
239600,5.1184000,41,2070,354,804,340,37.8000000,-122.2000000
229700,4.0977000,48,1321,263,506,252,37.8000000,-122.2100000
257300,4.7440000,48,1694,259,610,238,37.8000000,-122.1900000
246900,4.2727000,46,1938,341,768,332,37.8000000,-122.1900000
179900,2.9844000,50,968,195,462,184,37.7900000,-122.1900000
169600,4.1739000,40,1060,256,667,235,37.7900000,-122.2000000
203300,3.8487000,46,2041,405,1059,399,37.8000000,-122.2000000
263400,4.0114000,52,1813,271,637,277,37.8000000,-122.1900000
231800,4.6563000,45,2718,451,1106,454,37.7900000,-122.1900000
140500,2.9297000,28,3144,761,1737,669,37.7900000,-122.1900000
126000,2.3036000,35,1802,459,1009,390,37.7900000,-122.2000000
122000,2.6667000,49,882,195,737,210,37.7900000,-122.2000000
134700,2.6190000,44,1621,452,1354,491,37.7900000,-122.2000000
139400,2.4167000,45,2115,533,1530,474,37.7900000,-122.2100000
115400,2.7788000,45,2021,528,1410,480,37.7900000,-122.2000000
137300,2.7352000,46,2239,508,1390,569,37.7800000,-122.2100000
137000,1.8472000,52,1477,300,1065,269,37.7800000,-122.2100000
142600,2.6583000,52,1056,224,792,245,37.7800000,-122.2100000
137500,3.0536000,49,898,244,779,245,37.7800000,-122.2100000
111700,2.3906000,44,2968,710,2269,610,37.7800000,-122.2200000
126800,1.7188000,43,1702,460,1227,407,37.7800000,-122.2100000
111300,2.6250000,47,881,248,753,241,37.7800000,-122.2100000
114800,2.8015000,40,494,114,547,135,37.7700000,-122.2200000
102300,1.7276000,50,1776,473,1807,440,37.7800000,-122.2200000
131900,2.0801000,44,1678,514,1700,495,37.7800000,-122.2200000
119100,2.4890000,51,1637,463,1543,393,37.7800000,-122.2200000
80600,1.7546000,52,1420,314,1085,300,37.7600000,-122.2100000
80600,4.0904000,52,591,173,353,137,37.7700000,-122.2100000
88800,2.6765000,52,745,153,473,149,37.7700000,-122.2100000
102400,2.4338000,49,2272,498,1621,483,37.7700000,-122.2000000
98700,2.3309000,46,1234,375,1183,354,37.7700000,-122.2100000
100000,2.2604000,43,1017,328,836,277,37.7700000,-122.2100000
92300,1.8039000,42,932,254,900,263,37.7700000,-122.1900000
94800,2.2562000,39,2689,597,1888,537,37.7700000,-122.2000000
102000,2.0562000,41,1547,415,1024,341,37.7700000,-122.2000000
158400,3.5398000,52,2300,443,1225,423,37.7800000,-122.2000000
121600,3.1167000,39,1752,399,1071,376,37.7800000,-122.2000000
129100,2.5401000,50,1867,403,1128,378,37.7800000,-122.2000000
121400,2.8980000,43,2430,502,1537,484,37.7700000,-122.2000000
102800,2.3125000,44,1729,414,1240,393,37.7800000,-122.2100000
160000,2.8750000,52,1026,180,469,168,37.7800000,-122.1900000
143900,3.3715000,52,2170,428,1086,425,37.7700000,-122.1900000
151200,3.5114000,52,2329,445,1144,417,37.7700000,-122.1900000
164400,4.3125000,52,2492,415,1109,375,37.7800000,-122.1900000
156500,3.2200000,52,2198,397,984,369,37.7800000,-122.1900000
225000,3.8750000,33,142,31,575,47,37.7800000,-122.1800000
174200,5.2328000,49,1183,205,496,209,37.7800000,-122.1900000
166900,3.7262000,52,1070,193,555,190,37.7800000,-122.1900000
163500,4.5893000,45,1766,332,869,327,37.7800000,-122.2000000
253000,5.2578000,39,617,95,236,106,37.7900000,-122.1800000
240700,7.0875000,41,1411,233,626,214,37.7900000,-122.1800000
208100,3.9712000,46,2109,387,922,329,37.7900000,-122.1800000
198100,2.9514000,47,1229,243,582,256,37.7900000,-122.1900000
172800,2.6667000,50,954,217,546,201,37.7900000,-122.1900000
336700,5.4446000,37,1643,262,620,266,37.8100000,-122.1800000
318200,6.2838000,34,1355,195,442,195,37.8000000,-122.1800000
285800,6.7527000,23,2317,336,955,328,37.8000000,-122.1800000
293000,7.0712000,24,2459,317,916,324,37.7700000,-122.1300000
371000,5.9849000,22,12842,2048,4985,1967,37.7900000,-122.1600000
157300,3.6875000,42,1524,260,651,267,37.7800000,-122.1700000
135300,2.8750000,30,3326,746,1704,703,37.7700000,-122.1700000
136700,3.4205000,43,1985,440,1085,407,37.7800000,-122.1800000
160700,3.2984000,50,1642,322,713,284,37.7800000,-122.1800000
140600,3.8750000,49,893,177,468,181,37.7800000,-122.1700000
144000,4.1750000,52,653,128,296,121,37.7800000,-122.1700000
161900,4.3750000,47,1256,217,570,218,37.7700000,-122.1600000
156300,4.7708000,48,977,194,446,180,37.7700000,-122.1600000
176000,3.5739000,45,2324,397,968,384,37.7700000,-122.1600000
145800,3.0958000,39,1583,349,857,316,37.7700000,-122.1600000
141900,3.3958000,39,1612,342,912,322,37.7700000,-122.1700000
90700,1.8710000,31,2424,533,1360,452,37.7700000,-122.1700000
90600,1.9356000,41,1594,367,1074,355,37.7600000,-122.1700000
107900,2.1842000,47,2118,413,965,382,37.7600000,-122.1700000
107000,2.2917000,37,1575,358,933,320,37.7600000,-122.1800000
98200,2.4333000,38,1764,397,987,354,37.7600000,-122.1700000
89500,1.9479000,50,1187,261,907,246,37.7600000,-122.1800000
93800,3.9063000,52,754,175,447,165,37.7600000,-122.1800000
96700,1.8407000,49,2308,452,1299,451,37.7600000,-122.1800000
97500,2.0786000,27,909,236,396,157,37.7700000,-122.1800000
97300,2.8125000,42,1180,257,877,268,37.7700000,-122.1800000
91200,1.8913000,43,2018,408,1111,367,37.7600000,-122.1800000
91400,1.7056000,49,1368,282,790,269,37.7600000,-122.1900000
96200,2.2768000,52,2744,547,1479,554,37.7700000,-122.1800000
120100,3.2552000,51,2107,471,1173,438,37.7700000,-122.1800000
100000,2.0556000,52,1748,362,1029,366,37.7700000,-122.1800000
94700,2.4659000,52,2024,391,1030,350,37.7600000,-122.1900000
85700,1.7500000,47,1116,259,826,279,37.7600000,-122.2000000
89300,2.0469000,41,2036,510,1412,454,37.7700000,-122.1900000
101400,2.7159000,45,1852,393,1132,349,37.7700000,-122.1900000
72500,1.2083000,41,921,207,522,159,37.7600000,-122.1900000
74100,1.9250000,45,995,238,630,237,37.7600000,-122.1900000
70000,1.5809000,36,606,132,531,133,37.7500000,-122.2000000
84600,1.4097000,37,2680,736,1925,667,37.7600000,-122.2000000
81800,0.7683000,38,1493,370,1144,351,37.7600000,-122.1900000
81400,1.3194000,19,2207,565,1481,520,37.7500000,-122.1900000
81800,0.8012000,28,856,189,435,162,37.7500000,-122.1900000
85800,1.9479000,26,1293,297,984,303,37.7600000,-122.1900000
87100,1.1765000,36,847,212,567,159,37.7400000,-122.1900000
83500,2.3456000,42,541,154,380,123,37.7400000,-122.1800000
79700,2.1538000,44,1066,253,825,244,37.7300000,-122.1900000
83400,2.5139000,43,707,147,417,155,37.7400000,-122.1900000
84700,1.2625000,45,1528,291,801,287,37.7300000,-122.1900000
80000,2.9063000,42,909,215,646,198,37.7300000,-122.1800000
76400,2.5192000,43,1391,293,855,285,37.7300000,-122.1800000
79700,2.1111000,44,548,119,435,136,37.7300000,-122.1800000
82400,2.4550000,42,4074,874,2736,780,37.7300000,-122.1800000
97700,2.4028000,41,1613,445,1481,414,37.7400000,-122.1700000
97200,2.1500000,47,463,134,327,137,37.7400000,-122.1700000
101600,2.4776000,43,818,193,494,179,37.7400000,-122.1700000
86500,2.1587000,43,1473,371,1231,341,37.7300000,-122.1700000
90500,1.8438000,35,504,126,323,109,37.7400000,-122.1800000
107600,3.0298000,46,1026,226,749,225,37.7400000,-122.1700000
84200,2.2500000,46,769,183,693,178,37.7400000,-122.1700000
88900,2.2467000,46,2103,391,1339,354,37.7400000,-122.1800000
80700,4.0469000,45,330,76,282,80,37.7500000,-122.1800000
87100,1.3250000,46,941,218,621,195,37.7500000,-122.1800000
85100,1.6196000,38,992,279,732,259,37.7500000,-122.1700000
82000,2.1731000,45,990,261,901,260,37.7500000,-122.1800000
82800,1.9167000,36,1126,263,482,150,37.7500000,-122.1900000
84600,2.0690000,43,1036,233,652,213,37.7500000,-122.1800000
82100,1.7120000,36,1047,214,651,166,37.7500000,-122.1800000
89300,2.5625000,33,1280,307,999,286,37.7600000,-122.1700000
98300,1.9821000,43,1587,320,907,306,37.7500000,-122.1700000
92300,2.5043000,41,1257,271,828,230,37.7500000,-122.1700000
88800,2.3281000,44,1218,248,763,254,37.7500000,-122.1700000
90000,1.4375000,48,1751,390,935,349,37.7500000,-122.1700000
95500,2.5122000,45,2299,514,1437,484,37.7600000,-122.1600000
91700,1.5625000,38,2457,624,1516,482,37.7500000,-122.1600000
100400,3.1587000,47,998,211,597,185,37.7500000,-122.1700000
94800,1.8426000,40,1685,343,949,342,37.7600000,-122.1700000
164300,4.6696000,46,1827,307,881,302,37.7600000,-122.1600000
155500,2.4598000,36,2781,574,1438,519,37.7600000,-122.1600000
196900,6.0749000,39,1823,286,763,270,37.7600000,-122.1500000
279100,4.8304000,27,2229,365,1297,355,37.7700000,-122.1400000
252800,5.5701000,34,1513,231,545,211,37.7600000,-122.1400000
275400,5.3700000,26,3266,491,1222,533,37.7600000,-122.1300000
250000,6.8600000,33,1809,261,808,219,37.7500000,-122.1200000
329800,7.6923000,28,794,111,329,109,37.7500000,-122.1200000
195500,4.0313000,36,690,105,299,109,37.7500000,-122.1400000
255900,6.8323000,33,1334,200,579,202,37.7500000,-122.1400000
311100,4.9750000,30,414,54,137,50,37.7500000,-122.1300000
330000,5.3602000,36,768,93,229,93,37.7500000,-122.1300000
248900,5.0000000,41,4400,666,1476,648,37.7400000,-122.1300000
142900,2.9250000,46,954,161,429,154,37.7500000,-122.1600000
126300,3.8913000,40,1445,256,849,255,37.7500000,-122.1500000
135800,3.2250000,44,1938,399,946,331,37.7500000,-122.1500000
130600,3.1458000,41,856,178,571,191,37.7400000,-122.1500000
107900,2.5370000,24,1790,454,1137,386,37.7500000,-122.1600000
111100,2.5568000,44,617,131,378,135,37.7500000,-122.1600000
122000,3.5083000,43,1383,275,853,272,37.7400000,-122.1500000
118000,3.3125000,49,1325,277,764,282,37.7400000,-122.1500000
95200,1.8235000,40,1227,294,928,261,37.7500000,-122.1600000
94300,3.8047000,35,667,140,406,133,37.7500000,-122.1600000
92500,2.2917000,34,1223,281,824,280,37.7400000,-122.1700000
91800,2.4962000,37,1379,287,835,259,37.7500000,-122.1700000
109400,4.0417000,43,1534,300,826,295,37.7400000,-122.1600000
129500,3.4844000,46,1029,181,567,211,37.7400000,-122.1600000
143400,4.1458000,52,771,147,355,144,37.7400000,-122.1600000
98200,2.6250000,47,824,223,533,166,37.7400000,-122.1600000
103100,2.0227000,44,1097,239,609,215,37.7400000,-122.1600000
276800,3.3333000,49,1283,238,576,236,37.9000000,-122.2900000
270900,5.3380000,52,1604,263,594,286,37.9000000,-122.2900000
246200,3.4732000,52,2248,422,870,377,37.8900000,-122.2900000
224200,3.5125000,38,2263,522,1027,509,37.9000000,-122.3000000
229100,3.1375000,52,1571,349,693,326,37.8900000,-122.2900000
211600,2.8036000,46,1520,402,815,375,37.8900000,-122.3000000
256100,4.5824000,15,5083,1212,2420,1146,37.9000000,-122.3000000
206300,3.0208000,36,1077,293,518,276,37.8900000,-122.3000000
221300,4.0875000,52,1248,283,620,275,37.8900000,-122.3000000
207400,4.5268000,42,1342,291,551,266,37.8900000,-122.3300000
350000,1.7375000,37,3061,930,2556,924,37.8800000,-122.3400000
218200,3.1795000,52,3171,698,1498,696,37.8900000,-122.2900000
216700,3.8672000,50,1211,261,523,227,37.8800000,-122.2900000
270600,5.1675000,52,979,175,374,153,37.8900000,-122.2900000
261400,5.1696000,52,2269,380,1004,371,37.8900000,-122.2900000
261300,4.2614000,52,1844,332,769,334,37.8800000,-122.2800000
232200,5.0551000,52,2178,421,940,423,37.8900000,-122.2900000
375400,5.6228000,42,1650,274,645,256,37.9000000,-122.2700000
357300,7.8864000,52,1927,279,705,288,37.9000000,-122.2600000
374400,7.9556000,52,2079,273,684,275,37.9000000,-122.2700000
358800,6.1740000,52,1803,240,572,236,37.9000000,-122.2700000
417500,6.9414000,52,2041,270,671,253,37.9000000,-122.2700000
430500,8.8342000,52,3046,373,975,365,37.8900000,-122.2700000
362900,7.1754000,52,2318,328,779,312,37.9000000,-122.2800000
397000,10.0825000,52,2003,250,658,244,37.9000000,-122.2800000
346800,4.9083000,52,2261,328,819,335,37.9000000,-122.2800000
327100,5.7912000,52,1225,169,412,168,37.8900000,-122.2800000
290100,4.5893000,52,2315,408,835,369,37.8900000,-122.2800000
292000,5.4171000,52,2070,329,722,306,37.8900000,-122.2800000
270900,4.1250000,52,2616,473,1085,487,37.8900000,-122.2800000
371100,7.2660000,52,2640,366,973,355,37.8900000,-122.2700000
335600,5.3989000,52,1978,293,723,272,37.8900000,-122.2700000
371300,7.8336000,37,2220,335,903,362,37.9000000,-122.2600000
344000,6.1593000,41,1125,195,356,181,37.8900000,-122.2500000
