id,y,longitude,latitude,z,nn0,nn1,nn2,nn3,nn4,nn5,nn6,nn7,nn8,nn9,nn10,nn11,nn12,nn13,nn14,nn15,nn16,nn17,nn18,nn19,nn20,nn21,nn22,nn23,nn24,nn25,nn26,nn27,nn28,nn29
16,2.407809497,82.5,2.5,-0.284252921,2.827041195,2.013680498,2.01434145,2.407569877,1.645037948,1.645473236,1.645860117,3.271690231,1.30259452,2.014085162,1.302701628,2.826940258,0.984829954,2.407876835,1.302808904,3.742664092,1.302315869,0.985063362,1.64576816,3.272036464,0.984493666,0.69283147,2.827421067,0.692264196,2.013645953,0.984284507,0.984324326,1.301950628,0.692141296,0.692963823
17,2.827041195,87.5,2.5,-2.656455421,2.407569877,3.271690231,2.407809497,2.013680498,2.826940258,3.742664092,2.014085162,2.01434145,3.272036464,1.645037948,2.407876835,1.645860117,1.30259452,2.827421067,1.645473236,1.64576816,1.302701628,1.302808904,2.013645953,0.985063362,0.984829954,2.40749911,1.302315869,1.301950628,1.645581408,0.984493666,0.984324326,0.692264196,2.01434846,0.692141296
18,3.271690231,92.5,2.5,-2.440466929,3.742664092,2.826940258,2.827041195,2.407569877,3.272036464,2.407876835,2.407809497,2.827421067,2.014085162,2.013680498,1.645860117,2.013645953,2.01434145,2.40749911,1.64576816,1.645037948,1.302808904,1.30259452,1.645581408,1.645473236,2.01434846,1.301950628,1.302701628,0.985063362,0.984829954,0.984324326,0.692264196,0.692141296,1.301958494,1.302315869
19,3.742664092,97.5,2.5,1.320113346,3.272036464,3.271690231,2.826940258,2.827041195,2.827421067,2.407876835,2.407569877,2.014085162,2.40749911,2.407809497,2.013680498,2.013645953,1.64576816,1.645860117,2.01434145,2.01434846,1.645581408,1.645037948,1.302808904,1.301950628,1.30259452,1.645473236,0.984324326,0.985063362,1.645610344,1.301958494,1.302701628,0.985000749,0.984829954,0.692141296
20,-0.832449153,2.5,7.5,-0.306638594,-0.844504422,-0.845499635,-0.794071201,-0.832567736,-0.832475282,-0.832382679,-0.730823384,-0.793994626,-0.844653098,-0.794081555,-0.832016406,-0.793698782,-0.641185501,-0.730340274,-0.730511249,-0.83263343,-0.844501725,-0.794130272,-0.730159131,-0.526857323,-0.641253362,-0.64149299,-0.794673052,-0.832357026,-0.832633653,-0.731069472,-0.845475261,-0.641905019,-0.388062599,-0.793686362
21,-0.845499635,7.5,7.5,-1.781308434,-0.832475282,-0.832449153,-0.832382679,-0.832567736,-0.844504422,-0.793994626,-0.844653098,-0.794071201,-0.793698782,-0.794081555,-0.730823384,-0.832016406,-0.730340274,-0.83263343,-0.844501725,-0.730511249,-0.730159131,-0.641185501,-0.794673052,-0.64149299,-0.794130272,-0.832357026,-0.832633653,-0.641253362,-0.641905019,-0.731069472,-0.73042771,-0.526857323,-0.527385071,-0.845475261
22,-0.832382679,12.5,7.5,-0.171917356,-0.793994626,-0.844653098,-0.793698782,-0.845499635,-0.730340274,-0.832567736,-0.83263343,-0.832475282,-0.730159131,-0.832449153,-0.832016406,-0.64149299,-0.844504422,-0.794071201,-0.794081555,-0.844501725,-0.794673052,-0.832633653,-0.730823384,-0.641905019,-0.794130272,-0.730511249,-0.73042771,-0.832357026,-0.527385071,-0.845475261,-0.641185501,-0.793685069,-0.731069472,-0.527460557
23,-0.793698782,17.5,7.5,1.214674699,-0.83263343,-0.730340274,-0.832382679,-0.730159131,-0.793994626,-0.794673052,-0.64149299,-0.844653098,-0.845499635,-0.844501725,-0.641905019,-0.73042771,-0.832633653,-0.832475282,-0.832016406,-0.527385071,-0.832567736,-0.793685069,-0.794081555,-0.832449153,-0.832357026,-0.527460557,-0.642061542,-0.794130272,-0.794071201,-0.387048456,-0.845475261,-0.844504422,-0.730511249,-0.832003722
24,-0.730159131,22.5,7.5,1.895193461,-0.641905019,-0.64149299,-0.793698782,-0.794673052,-0.527385071,-0.730340274,-0.73042771,-0.83263343,-0.832382679,-0.527460557,-0.832633653,-0.793994626,-0.642061542,-0.793685069,-0.387048456,-0.844653098,-0.844501725,-0.730473383,-0.832016406,-0.845499635,-0.388054737,-0.845475261,-0.526827031,-0.832567736,-0.222414777,-0.832357026,-0.832003722,-0.832475282,-0.794081555,-0.794130272
25,-0.641905019,27.5,7.5,-0.430469132,-0.527460557,-0.73042771,-0.730159131,-0.527385071,-0.794673052,-0.387048456,-0.64149299,-0.642061542,-0.388054737,-0.793698782,-0.793685069,-0.222414777,-0.832633653,-0.526827031,-0.730340274,-0.83263343,-0.730473383,-0.641254965,-0.844501725,-0.222141045,-0.832003722,-0.832382679,-0.794284667,-0.844653098,-0.387768391,-0.031305729,-0.793994626,-0.845475261,-0.73073327,-0.526926624
26,-0.527460557,32.5,7.5,-0.257269383,-0.388054737,-0.387048456,-0.641905019,-0.642061542,-0.527385071,-0.526827031,-0.73042771,-0.222414777,-0.730159131,-0.222141045,-0.730473383,-0.793685069,-0.64149299,-0.387768391,-0.641254965,-0.794673052,-0.031305729,-0.526926624,-0.832633653,-0.032067463,-0.793698782,-0.794284667,-0.73073327,-0.730340274,-0.83263343,0.184220736,-0.222056855,-0.832003722,-0.387220354,-0.64128446
27,-0.388054737,37.5,7.5,-1.763163085,-0.222141045,-0.222414777,-0.527460557,-0.526827031,-0.387768391,-0.031305729,-0.642061542,-0.387048456,-0.641254965,-0.032067463,-0.641905019,-0.73042771,0.184220736,-0.526926624,-0.222056855,-0.527385071,-0.730473383,-0.793685069,-0.387220354,-0.730159131,-0.73073327,0.184476164,0.426173225,-0.031603112,-0.794673052,-0.64128446,-0.794284667,-0.64149299,-0.526958995,-0.832003722
28,-0.222141045,42.5,7.5,0.460097355,-0.388054737,-0.032067463,-0.387768391,-0.031305729,-0.222414777,-0.526827031,-0.222056855,0.184220736,0.184476164,-0.526926624,-0.527460557,-0.641254965,-0.031603112,0.426173225,-0.387048456,-0.387220354,-0.642061542,-0.730473383,-0.222805874,-0.64128446,0.426012133,-0.641905019,0.183893748,0.692910262,-0.526958995,-0.527385071,-0.73073327,-0.73042771,-0.387055656,-0.794284667
29,-0.032067463,47.5,7.5,-0.639994876,-0.222056855,0.184476164,-0.222141045,0.184220736,-0.031603112,0.426173225,-0.031305729,-0.387768391,0.426012133,-0.388054737,-0.387220354,-0.222414777,-0.526926624,-0.222805874,0.183893748,-0.526827031,0.692910262,-0.031809704,-0.641254965,-0.527460557,0.692963823,-0.526958995,-0.642061542,-0.387055656,-0.64128446,0.984284507,-0.387048456,0.426191085,-0.730473383,-0.73073327
30,0.184476164,52.5,7.5,0.455450123,-0.032067463,0.426173225,-0.031603112,0.426012133,0.692910262,0.183893748,0.184220736,-0.222056855,-0.222805874,-0.222141045,0.692963823,0.984284507,-0.387220354,-0.387768391,-0.031809704,0.426191085,-0.031305729,0.18454937,-0.526926624,-0.387055656,0.984493666,-0.388054737,0.69283147,1.302315869,-0.22259972,-0.526827031,-0.222414777,-0.526958995,-0.031456185,0.425268339
31,0.426012133,57.5,7.5,0.704837337,0.184476164,0.692963823,0.692910262,0.183893748,0.984284507,-0.031603112,0.426173225,0.426191085,-0.032067463,-0.031809704,0.984493666,-0.222805874,1.302315869,0.18454937,-0.222056855,0.69283147,0.184220736,-0.387220354,0.425268339,-0.22259972,-0.222141045,1.302701628,0.984829954,1.645473236,-0.031456185,-0.387055656,-0.387768391,-0.031305729,-0.526926624,0.184752682
32,0.692963823,62.5,7.5,1.035103522,0.984284507,0.426012133,0.426191085,0.984493666,1.302315869,0.183893748,0.69283147,0.692910262,0.184476164,1.302701628,0.18454937,0.425268339,-0.031603112,0.984829954,-0.031809704,1.645473236,0.426173225,0.692264196,-0.222805874,-0.032067463,-0.031456185,1.645037948,2.01434145,-0.222056855,1.30259452,-0.22259972,0.184752682,0.184220736,0.425227378,-0.387055656
33,0.984493666,67.5,7.5,-0.608926375,0.692963823,1.302701628,0.69283147,1.302315869,0.984284507,1.645473236,0.984829954,0.426191085,1.645037948,0.425268339,0.426012133,2.01434145,0.183893748,0.692264196,1.30259452,0.18454937,0.692910262,0.985063362,-0.031809704,0.184476164,0.184752682,2.013680498,0.426173225,0.425227378,1.645860117,-0.031456185,-0.031603112,2.407809497,0.692141296,-0.22259972
34,1.302701628,72.5,7.5,0.504955123,0.984829954,1.645473236,0.984493666,1.645037948,0.69283147,1.302315869,2.01434145,1.30259452,2.013680498,0.692264196,0.692963823,1.645860117,0.426191085,0.984284507,2.407809497,0.985063362,0.425268339,0.18454937,1.302808904,0.426012133,2.407569877,0.425227378,0.692910262,0.184752682,0.692141296,2.014085162,2.827041195,0.183893748,0.984324326,-0.031456185
35,1.645037948,77.5,7.5,-1.717008679,1.30259452,1.302701628,2.013680498,2.01434145,1.645473236,1.645860117,2.407809497,0.984829954,2.407569877,0.985063362,0.984493666,2.827041195,2.014085162,0.692264196,1.302315869,1.302808904,0.69283147,1.64576816,0.425268339,2.826940258,0.692141296,0.692963823,0.426191085,3.271690231,0.984284507,0.425227378,0.984324326,2.407876835,1.301950628,0.18454937
36,2.013680498,82.5,7.5,-0.784459008,2.407569877,2.407809497,1.645037948,1.645860117,1.30259452,2.827041195,2.014085162,2.01434145,1.302701628,2.826940258,1.302808904,2.407876835,1.645473236,3.271690231,0.985063362,1.64576816,0.984829954,0.692264196,2.013645953,0.984324326,3.272036464,0.984493666,3.742664092,2.827421067,1.301950628,1.302315869,0.69283147,0.692141296,0.425268339,2.40749911
37,2.407569877,87.5,7.5,-0.850907594,2.827041195,2.826940258,2.013680498,2.014085162,2.407876835,3.271690231,1.645860117,2.407809497,1.645037948,3.272036464,1.64576816,1.30259452,3.742664092,2.827421067,2.01434145,1.302808904,2.013645953,2.40749911,0.985063362,1.301950628,1.302701628,1.645473236,0.984829954,1.645581408,0.984324326,0.692264196,2.01434846,0.692141296,0.984493666,0.985000749
38,2.826940258,92.5,7.5,-2.41420765,3.272036464,2.407569877,2.407876835,3.271690231,2.827041195,2.827421067,3.742664092,2.014085162,2.013680498,2.013645953,2.407809497,1.64576816,1.645860117,2.40749911,1.302808904,1.645581408,1.645037948,1.301950628,2.01434846,2.01434145,1.30259452,0.985063362,0.984324326,1.301958494,1.302701628,0.985000749,0.984829954,1.645610344,1.645473236,0.692141296
39,3.272036464,97.5,7.5,0.036122607,2.826940258,2.827421067,3.742664092,3.271690231,2.407876835,2.40749911,2.407569877,2.827041195,2.013645953,2.014085162,1.64576816,2.013680498,2.01434846,2.407809497,1.645581408,1.645860117,1.302808904,1.301950628,1.645037948,1.645610344,2.01434145,1.30259452,1.301958494,0.984324326,0.985063362,0.985000749,1.302429085,0.692277448,1.302701628,0.692141296
40,-0.794071201,2.5,12.5,0.2059986,-0.832475282,-0.730823384,-0.832449153,-0.794081555,-0.845499635,-0.844504422,-0.844653098,-0.641185501,-0.832382679,-0.730511249,-0.832567736,-0.832016406,-0.793994626,-0.794130272,-0.526857323,-0.83263343,-0.641253362,-0.844501725,-0.793698782,-0.832357026,-0.731069472,-0.730340274,-0.388062599,-0.794673052,-0.832633653,-0.527836948,-0.730159131,-0.793686362,-0.64149299,-0.845475261
41,-0.832475282,7.5,12.5,-0.361057299,-0.794081555,-0.845499635,-0.794071201,-0.844653098,-0.832382679,-0.832449153,-0.730823384,-0.832016406,-0.730511249,-0.83263343,-0.832567736,-0.844504422,-0.793698782,-0.641185501,-0.793994626,-0.844501725,-0.794130272,-0.832357026,-0.730340274,-0.641253362,-0.794673052,-0.832633653,-0.526857323,-0.730159131,-0.731069472,-0.793686362,-0.64149299,-0.845475261,-0.73042771,-0.527836948
42,-0.844653098,12.5,12.5,0.758163236,-0.832016406,-0.83263343,-0.832475282,-0.832382679,-0.845499635,-0.844501725,-0.794081555,-0.793698782,-0.793994626,-0.794673052,-0.794071201,-0.794130272,-0.730823384,-0.730511249,-0.832357026,-0.832449153,-0.730159131,-0.730340274,-0.832633653,-0.832567736,-0.64149299,-0.641185501,-0.844504422,-0.845475261,-0.73042771,-0.731069472,-0.641905019,-0.793686362,-0.641253362,-0.793685069
43,-0.83263343,17.5,12.5,-0.726704827,-0.844653098,-0.793698782,-0.794673052,-0.844501725,-0.832382679,-0.832016406,-0.832633653,-0.730159131,-0.730340274,-0.832475282,-0.73042771,-0.832357026,-0.793994626,-0.794081555,-0.845475261,-0.793685069,-0.64149299,-0.845499635,-0.794130272,-0.641905019,-0.832003722,-0.832567736,-0.527385071,-0.730511249,-0.793686362,-0.794071201,-0.642061542,-0.730823384,-0.731069472,-0.832610071
44,-0.794673052,22.5,12.5,-1.368281044,-0.832633653,-0.73042771,-0.83263343,-0.730159131,-0.793698782,-0.793685069,-0.641905019,-0.844501725,-0.844653098,-0.845475261,-0.64149299,-0.642061542,-0.730473383,-0.832357026,-0.730340274,-0.527460557,-0.832382679,-0.832016406,-0.832003722,-0.527385071,-0.794130272,-0.793994626,-0.794284667,-0.387048456,-0.832610071,-0.526827031,-0.832475282,-0.845499635,-0.794081555,-0.793686362
45,-0.73042771,27.5,12.5,0.432818026,-0.794673052,-0.793685069,-0.642061542,-0.641905019,-0.527460557,-0.730159131,-0.730473383,-0.832633653,-0.526827031,-0.527385071,-0.83263343,-0.832003722,-0.844501725,-0.641254965,-0.64149299,-0.845475261,-0.387048456,-0.793698782,-0.388054737,-0.794284667,-0.73073327,-0.832357026,-0.730340274,-0.222414777,-0.844949051,-0.844653098,-0.387768391,-0.832504028,-0.832016406,-0.526926624
46,-0.642061542,32.5,12.5,-0.811393176,-0.526827031,-0.730473383,-0.527460557,-0.73042771,-0.641254965,-0.793685069,-0.388054737,-0.641905019,-0.387768391,-0.794673052,-0.387048456,-0.794284667,-0.527385071,-0.222141045,-0.73073327,-0.526926624,-0.832633653,-0.832003722,-0.730159131,-0.222414777,-0.64128446,-0.845475261,-0.64149299,-0.031305729,-0.83263343,-0.832504028,-0.222056855,-0.794237198,-0.844949051,-0.793698782
47,-0.526827031,37.5,12.5,1.444101262,-0.388054737,-0.642061542,-0.641254965,-0.387768391,-0.222141045,-0.526926624,-0.730473383,-0.527460557,-0.222414777,-0.73073327,-0.73042771,-0.222056855,-0.64128446,-0.032067463,-0.794284667,-0.793685069,-0.031305729,-0.387220354,-0.641905019,-0.387048456,0.184220736,-0.832003722,-0.527385071,-0.526958995,-0.031603112,-0.794237198,-0.794673052,-0.832504028,-0.730545805,-0.730159131
48,-0.387768391,42.5,12.5,-0.431446203,-0.526827031,-0.526926624,-0.222141045,-0.222056855,-0.641254965,-0.388054737,-0.032067463,-0.387220354,-0.642061542,-0.031603112,-0.64128446,-0.031305729,-0.526958995,-0.73073327,-0.222414777,-0.222805874,-0.527460557,-0.730473383,0.184476164,0.184220736,0.426173225,-0.794284667,-0.387055656,-0.387048456,-0.730545805,0.183893748,-0.73042771,-0.793685069,-0.794237198,-0.641905019
49,-0.222056855,47.5,12.5,0.655647883,-0.031603112,-0.387220354,-0.032067463,-0.387768391,-0.222141045,-0.526926624,-0.222805874,0.184476164,0.183893748,0.184220736,-0.526827031,-0.526958995,-0.641254965,-0.031809704,-0.64128446,-0.031305729,-0.388054737,0.426173225,0.426012133,-0.387055656,-0.22259972,-0.222414777,-0.73073327,0.692910262,0.426191085,-0.642061542,-0.641632494,-0.730473383,-0.527460557,-0.730545805
50,-0.031603112,52.5,12.5,0.321925265,-0.222056855,0.184476164,-0.222805874,0.183893748,-0.387220354,-0.031809704,0.426012133,-0.032067463,0.426173225,-0.387768391,-0.387055656,0.426191085,-0.526926624,0.692910262,0.692963823,0.184220736,-0.526958995,-0.222141045,0.18454937,-0.22259972,0.984284507,-0.031305729,-0.64128446,-0.031456185,0.69283147,-0.527343984,-0.526827031,0.425268339,0.984493666,-0.387501014
51,0.183893748,57.5,12.5,-0.783838941,-0.031603112,0.426191085,0.426012133,-0.031809704,0.692963823,-0.222805874,0.184476164,0.18454937,-0.22259972,-0.222056855,0.69283147,0.692910262,0.984284507,0.425268339,0.984493666,-0.031456185,-0.387055656,-0.032067463,-0.387220354,0.426173225,0.184220736,-0.526958995,1.302315869,0.184752682,0.984829954,-0.387501014,-0.387768391,-0.222141045,1.302701628,-0.222603894
52,0.426191085,62.5,12.5,1.57572752,0.18454937,0.183893748,0.692963823,0.69283147,-0.031809704,0.426012133,0.984493666,0.425268339,0.984284507,-0.031603112,-0.031456185,0.984829954,0.184476164,1.302701628,0.692264196,-0.22259972,1.302315869,-0.222805874,0.692910262,0.184752682,-0.387055656,1.645473236,0.426173225,0.425227378,1.30259452,-0.222603894,-0.222056855,-0.387501014,0.985063362,-0.032009485
53,0.69283147,67.5,12.5,0.642899306,0.426191085,0.984493666,0.984829954,0.425268339,0.692963823,0.692264196,1.302701628,0.18454937,1.302315869,0.183893748,0.184752682,1.30259452,0.984284507,0.425227378,1.645037948,-0.031456185,0.985063362,-0.031809704,0.426012133,1.645473236,2.01434145,0.692141296,-0.22259972,0.692910262,-0.031603112,1.645860117,-0.032009485,-0.222603894,0.184476164,-0.222805874
54,0.984829954,72.5,12.5,0.089760647,0.692264196,1.30259452,0.69283147,1.302701628,0.985063362,0.425268339,1.645037948,0.984493666,1.645473236,1.645860117,0.426191085,0.425227378,0.692141296,1.302315869,2.01434145,0.692963823,1.302808904,0.184752682,2.013680498,0.18454937,2.407809497,-0.031456185,0.984284507,0.984324326,2.014085162,0.183746388,0.183893748,0.426012133,-0.031809704,0.425493186
55,1.30259452,77.5,12.5,0.276550747,0.984829954,0.985063362,1.645860117,1.645037948,0.692264196,1.302701628,1.302808904,2.013680498,0.692141296,0.69283147,2.01434145,2.014085162,1.645473236,0.425268339,0.984493666,2.407569877,0.425227378,0.984324326,1.64576816,2.407809497,2.827041195,0.184752682,1.302315869,1.301950628,2.407876835,0.426191085,0.425493186,2.826940258,0.692277448,0.18454937
56,1.645860117,82.5,12.5,0.679288816,2.014085162,1.302808904,2.013680498,1.30259452,2.407569877,1.645037948,1.64576816,0.985063362,2.407809497,2.407876835,0.984324326,0.984829954,2.827041195,1.302701628,2.01434145,2.013645953,0.692264196,2.826940258,1.301950628,0.692141296,0.425227378,1.645473236,1.645581408,3.271690231,0.69283147,0.692277448,2.827421067,2.40749911,0.425268339,0.985000749
57,2.014085162,87.5,12.5,0.089832887,2.407569877,2.407876835,1.64576816,1.645860117,2.013645953,2.826940258,1.302808904,2.013680498,1.30259452,2.827041195,2.827421067,1.301950628,2.407809497,3.271690231,1.645581408,1.645037948,0.985063362,0.984324326,2.40749911,3.272036464,2.01434846,0.692141296,2.01434145,3.742664092,0.985000749,0.984829954,1.301958494,0.692277448,1.302701628,0.692264196
58,2.407876835,92.5,12.5,-2.993090083,2.827421067,2.826940258,2.013645953,2.014085162,3.272036464,1.64576816,2.407569877,2.40749911,1.645581408,3.271690231,1.645860117,2.01434846,1.301950628,1.302808904,3.742664092,2.013680498,2.827041195,0.984324326,2.407809497,1.30259452,1.301958494,0.985063362,0.985000749,1.645037948,1.645610344,2.01434145,0.692141296,0.692277448,0.984829954,0.984554324
59,2.827421067,97.5,12.5,0.284882954,2.407876835,2.40749911,3.272036464,2.013645953,2.826940258,3.742664092,2.014085162,2.01434846,1.64576816,1.645581408,3.271690231,2.407569877,2.827041195,1.301950628,1.645610344,1.645860117,2.013680498,1.301958494,1.302808904,2.407809497,0.984324326,0.985000749,1.30259452,1.302429085,0.984554324,0.985063362,1.645037948,0.692277448,0.692141296,0.693000757
60,-0.730823384,2.5,17.5,-0.367234643,-0.641185501,-0.794071201,-0.794081555,-0.832475282,-0.730511249,-0.526857323,-0.832016406,-0.832449153,-0.845499635,-0.844653098,-0.794130272,-0.641253362,-0.731069472,-0.832382679,-0.844504422,-0.388062599,-0.844501725,-0.83263343,-0.527836948,-0.832357026,-0.832567736,-0.793994626,-0.793698782,-0.793686362,-0.641629699,-0.832633653,-0.222410448,-0.794673052,-0.38795006,-0.845475261
61,-0.794081555,7.5,17.5,0.185230565,-0.730511249,-0.730823384,-0.832475282,-0.832016406,-0.794130272,-0.794071201,-0.844653098,-0.641185501,-0.641253362,-0.844501725,-0.845499635,-0.526857323,-0.832382679,-0.832357026,-0.731069472,-0.832449153,-0.83263343,-0.793698782,-0.793686362,-0.832633653,-0.527836948,-0.832567736,-0.844504422,-0.388062599,-0.794673052,-0.641629699,-0.845475261,-0.793994626,-0.832610071,-0.730159131
