id,y,z,latitude,longitude,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10
69,-0.526926624,0.920728568,17.5,42.5,2,0,1,2,2,1,0,2,2,2
70,-0.387220354,0.720878163,17.5,47.5,2,0,1,2,2,1,0,2,2,2
71,-0.222805874,-1.043118939,17.5,52.5,2,2,1,0,2,1,0,2,2,2
72,-0.031809704,-0.090186387,17.5,57.5,2,2,1,0,2,1,0,2,2,2
73,0.18454937,0.623518162,17.5,62.5,2,2,0,1,2,1,0,2,2,2
74,0.425268339,-0.953523358,17.5,67.5,2,2,0,1,2,1,0,2,2,2
75,0.692264196,-0.542828815,17.5,72.5,2,2,2,1,0,1,0,2,2,2
76,0.985063362,0.580996498,17.5,77.5,2,2,2,1,0,1,0,2,2,2
77,1.302808904,0.768178738,17.5,82.5,2,2,2,0,1,1,0,2,2,2
78,1.64576816,0.463767589,17.5,87.5,2,2,2,0,1,1,0,2,2,2
79,2.013645953,-0.885776297,17.5,92.5,2,2,2,2,1,1,0,2,2,2
80,2.40749911,-1.099780899,17.5,97.5,2,2,2,2,1,1,0,2,2,2
81,-0.641185501,1.51270701,22.5,2.5,1,2,2,2,2,0,1,2,2,2
82,-0.730511249,0.257921438,22.5,7.5,1,2,2,2,2,0,1,2,2,2
83,-0.794130272,0.088440229,22.5,12.5,1,0,2,2,2,0,1,2,2,2
84,-0.832357026,-0.120896538,22.5,17.5,1,0,2,2,2,0,1,2,2,2
85,-0.845475261,-1.194328895,22.5,22.5,0,1,2,2,2,0,1,2,2,2
86,-0.832003722,0.611996898,22.5,27.5,0,1,2,2,2,0,1,2,2,2
87,-0.794284667,-0.217139846,22.5,32.5,2,1,0,2,2,0,1,2,2,2
88,-0.73073327,-0.182756706,22.5,37.5,2,1,0,2,2,0,1,2,2,2
89,-0.64128446,0.933346329,22.5,42.5,2,0,1,2,2,0,1,2,2,2
90,-0.526958995,0.821773111,22.5,47.5,2,0,1,2,2,0,1,2,2,2
91,-0.387055656,1.392116376,22.5,52.5,2,2,1,0,2,0,1,2,2,2
92,-0.22259972,-0.476173923,22.5,57.5,2,2,1,0,2,0,1,2,2,2
93,-0.031456185,0.650348561,22.5,62.5,2,2,0,1,2,0,1,2,2,2
94,0.184752682,1.391110456,22.5,67.5,2,2,0,1,2,0,1,2,2,2
95,0.425227378,-1.110788879,22.5,72.5,2,2,2,1,0,0,1,2,2,2
96,0.692141296,-0.860792587,22.5,77.5,2,2,2,1,0,0,1,2,2,2
97,0.984324326,-1.131738681,22.5,82.5,2,2,2,0,1,0,1,2,2,2
98,1.301950628,-1.459214,22.5,87.5,2,2,2,0,1,0,1,2,2,2
99,1.645581408,0.079982553,22.5,92.5,2,2,2,2,1,0,1,2,2,2
100,2.01434846,0.65320434,22.5,97.5,2,2,2,2,1,0,1,2,2,2
101,-0.526857323,1.200965376,27.5,2.5,1,2,2,2,2,0,1,2,2,2
102,-0.641253362,1.044751087,27.5,7.5,1,2,2,2,2,0,1,2,2,2
103,-0.731069472,-1.003208647,27.5,12.5,1,0,2,2,2,0,1,2,2,2
104,-0.793686362,1.848481902,27.5,17.5,1,0,2,2,2,0,1,2,2,2
105,-0.832610071,-0.666773409,27.5,22.5,0,1,2,2,2,0,1,2,2,2
106,-0.844949051,0.105513812,27.5,27.5,0,1,2,2,2,0,1,2,2,2
107,-0.832504028,-0.422255882,27.5,32.5,2,1,0,2,2,0,1,2,2,2
108,-0.794237198,-0.122350172,27.5,37.5,2,1,0,2,2,0,1,2,2,2
109,-0.730545805,0.188193035,27.5,42.5,2,0,1,2,2,0,1,2,2,2
110,-0.641632494,0.119160958,27.5,47.5,2,0,1,2,2,0,1,2,2,2
111,-0.527343984,-0.025092551,27.5,52.5,2,2,1,0,2,0,1,2,2,2
112,-0.387501014,0.108072728,27.5,57.5,2,2,1,0,2,0,1,2,2,2
113,-0.222603894,-0.485435236,27.5,62.5,2,2,0,1,2,0,1,2,2,2
114,-0.032009485,-0.504217131,27.5,67.5,2,2,0,1,2,0,1,2,2,2
115,0.183746388,-1.66109908,27.5,72.5,2,2,2,1,0,0,1,2,2,2
116,0.425493186,-0.382333727,27.5,77.5,2,2,2,1,0,0,1,2,2,2
117,0.692277448,-0.512650258,27.5,82.5,2,2,2,0,1,0,1,2,2,2
118,0.985000749,2.701891,27.5,87.5,2,2,2,0,1,0,1,2,2,2
119,1.301958494,-1.362116231,27.5,92.5,2,2,2,2,1,0,1,2,2,2
120,1.645610344,0.137256219,27.5,97.5,2,2,2,2,1,0,1,2,2,2
121,-0.388062599,-1.493625067,32.5,2.5,1,2,2,2,2,2,1,0,2,2
122,-0.527836948,-1.470435741,32.5,7.5,1,2,2,2,2,2,1,0,2,2
123,-0.641629699,0.124702386,32.5,12.5,1,0,2,2,2,2,1,0,2,2
124,-0.731067668,-0.996639135,32.5,17.5,1,0,2,2,2,2,1,0,2,2
125,-0.794176092,-0.001822614,32.5,22.5,0,1,2,2,2,2,1,0,2,2
126,-0.832506807,-0.428258881,32.5,27.5,0,1,2,2,2,2,1,0,2,2
127,-0.845295283,-0.613671606,32.5,32.5,2,1,0,2,2,2,1,0,2,2
128,-0.83275254,-2.024677845,32.5,37.5,2,1,0,2,2,2,1,0,2,2
129,-0.794653309,-1.22474795,32.5,42.5,2,0,1,2,2,2,1,0,2,2
130,-0.730550141,0.179516441,32.5,47.5,2,0,1,2,2,2,1,0,2,2
131,-0.641419656,0.567620594,32.5,52.5,2,2,1,0,2,2,1,0,2,2
132,-0.527571728,-0.492877354,32.5,57.5,2,2,1,0,2,2,1,0,2,2
133,-0.387555806,6.29E-05,32.5,62.5,2,2,0,1,2,2,1,0,2,2
134,-0.2219086,1.122889643,32.5,67.5,2,2,0,1,2,2,1,0,2,2
135,-0.031260003,1.439855743,32.5,72.5,2,2,2,1,0,2,1,0,2,2
136,0.183800281,-1.097113768,32.5,77.5,2,2,2,1,0,2,1,0,2,2
137,0.425623323,-0.11731956,32.5,82.5,2,2,2,0,1,2,1,0,2,2
138,0.693000757,1.201498401,32.5,87.5,2,2,2,0,1,2,1,0,2,2
139,0.984554324,-0.469729581,32.5,92.5,2,2,2,2,1,2,1,0,2,2
140,1.302429085,-0.052469485,32.5,97.5,2,2,2,2,1,2,1,0,2,2
141,-0.222410448,-0.086107298,37.5,2.5,1,2,2,2,2,2,1,0,2,2
142,-0.38795006,-0.887679018,37.5,7.5,1,2,2,2,2,2,1,0,2,2
143,-0.527549877,-0.444684005,37.5,12.5,1,0,2,2,2,2,1,0,2,2
144,-0.641707881,-0.029444879,37.5,17.5,1,0,2,2,2,2,1,0,2,2
145,-0.7308453,-0.413868849,37.5,22.5,0,1,2,2,2,2,1,0,2,2
146,-0.793719142,1.113386023,37.5,27.5,0,1,2,2,2,2,1,0,2,2
147,-0.832530885,-0.480992842,37.5,32.5,2,1,0,2,2,2,1,0,2,2
148,-0.845215929,-0.433169033,37.5,37.5,2,1,0,2,2,2,1,0,2,2
149,-0.831969509,0.696862577,37.5,42.5,2,0,1,2,2,2,1,0,2,2
150,-0.794617656,-1.056368413,37.5,47.5,2,0,1,2,2,2,1,0,2,2
151,-0.730661576,-0.040698475,37.5,52.5,2,2,1,0,2,2,1,0,2,2
152,-0.642201098,-1.551544822,37.5,57.5,2,2,1,0,2,2,1,0,2,2
153,-0.526863801,1.167169549,37.5,62.5,2,2,0,1,2,2,1,0,2,2
154,-0.387693196,-0.273645701,37.5,67.5,2,2,0,1,2,2,1,0,2,2
155,-0.22259595,-0.467845325,37.5,72.5,2,2,2,1,0,2,1,0,2,2
156,-0.032244355,-1.238252328,37.5,77.5,2,2,2,1,0,2,1,0,2,2
157,0.184248646,-0.007762034,37.5,82.5,2,2,2,0,1,2,1,0,2,2
158,0.425318103,-0.800282178,37.5,87.5,2,2,2,0,1,2,1,0,2,2
159,0.692268271,-0.53349233,37.5,92.5,2,2,2,2,1,2,1,0,2,2
160,0.985272431,1.287675246,37.5,97.5,2,2,2,2,1,2,1,0,2,2
161,-0.031852684,-0.17552587,42.5,2.5,1,2,2,2,2,2,0,1,2,2
162,-0.222813029,-1.071782384,42.5,7.5,1,2,2,2,2,2,0,1,2,2
163,-0.387473252,0.163206882,42.5,12.5,1,0,2,2,2,2,0,1,2,2
164,-0.527511586,-0.362738416,42.5,17.5,1,0,2,2,2,2,0,1,2,2
165,-0.641410128,0.590013548,42.5,22.5,0,1,2,2,2,2,0,1,2,2
166,-0.73013748,1.432421928,42.5,27.5,0,1,2,2,2,2,0,1,2,2
167,-0.794600845,-0.992692511,42.5,32.5,2,1,0,2,2,2,0,1,2,2
168,-0.83207252,0.454650298,42.5,37.5,2,1,0,2,2,2,0,1,2,2
169,-0.844959482,0.084898059,42.5,42.5,2,0,1,2,2,2,0,1,2,2
170,-0.831898987,0.895565582,42.5,47.5,2,0,1,2,2,2,0,1,2,2
171,-0.794290931,-0.229778139,42.5,52.5,2,2,1,0,2,2,0,1,2,2
172,-0.730263562,0.836619068,42.5,57.5,2,2,1,0,2,2,0,1,2,2
173,-0.642193494,-1.745055861,42.5,62.5,2,2,0,1,2,2,0,1,2,2
174,-0.526826532,1.689458921,42.5,67.5,2,2,0,1,2,2,0,1,2,2
175,-0.387169066,0.864777979,42.5,72.5,2,2,2,1,0,2,0,1,2,2
176,-0.222443082,-0.150775989,42.5,77.5,2,2,2,1,0,2,0,1,2,2
177,-0.032268436,-1.44900713,42.5,82.5,2,2,2,0,1,2,0,1,2,2
178,0.184557355,0.6430087,42.5,87.5,2,2,2,0,1,2,0,1,2,2
179,0.425918966,0.483193864,42.5,92.5,2,2,2,2,1,2,0,1,2,2
180,0.69252352,-0.006355626,42.5,97.5,2,2,2,2,1,2,0,1,2,2
181,0.184329278,0.151455893,47.5,2.5,1,2,2,2,2,2,0,1,2,2
182,-0.032044218,-0.58410897,47.5,7.5,1,2,2,2,2,2,0,1,2,2
183,-0.222183502,0.368806733,47.5,12.5,1,0,2,2,2,2,0,1,2,2
184,-0.387408231,0.29465434,47.5,17.5,1,0,2,2,2,2,0,1,2,2
185,-0.527471334,-0.279259373,47.5,22.5,0,1,2,2,2,2,0,1,2,2
186,-0.642187274,-1.336236655,47.5,27.5,0,1,2,2,2,2,0,1,2,2
187,-0.730313165,0.700748818,47.5,32.5,2,1,0,2,2,2,0,1,2,2
188,-0.793907681,0.554196622,47.5,37.5,2,1,0,2,2,2,0,1,2,2
189,-0.832672955,-0.836306593,47.5,42.5,2,0,1,2,2,2,0,1,2,2
190,-0.845510712,-1.594588162,47.5,47.5,2,0,1,2,2,2,0,1,2,2
191,-0.83219228,0.204958581,47.5,52.5,2,2,1,0,2,2,0,1,2,2
192,-0.794347104,-0.345087978,47.5,57.5,2,2,1,0,2,2,0,1,2,2
193,-0.730513861,0.252611703,47.5,62.5,2,2,0,1,2,2,0,1,2,2
194,-0.642181845,-1.294002465,47.5,67.5,2,2,0,1,2,2,0,1,2,2
195,-0.527747364,-0.959170444,47.5,72.5,2,2,2,1,0,2,0,1,2,2
196,-0.387106186,1.085774854,47.5,77.5,2,2,2,1,0,2,0,1,2,2
197,-0.222167039,0.403774905,47.5,82.5,2,2,2,0,1,2,0,1,2,2
198,-0.031482628,0.586487537,47.5,87.5,2,2,2,0,1,2,0,1,2,2
199,0.184745757,1.815228446,47.5,92.5,2,2,2,2,1,2,0,1,2,2
200,0.425748112,0.128821429,47.5,97.5,2,2,2,2,1,2,0,1,2,2
201,0.425220841,-2.000929238,52.5,2.5,1,2,2,2,2,2,2,1,0,2
202,0.184419109,0.333777197,52.5,7.5,1,2,2,2,2,2,2,1,0,2
203,-0.03129567,1.171325127,52.5,12.5,1,0,2,2,2,2,2,1,0,2
204,-0.221917969,2.059539242,52.5,17.5,1,0,2,2,2,2,2,1,0,2
205,-0.388054584,-1.376861598,52.5,22.5,0,1,2,2,2,2,2,1,0,2
206,-0.527795344,-1.150855566,52.5,27.5,0,1,2,2,2,2,2,1,0,2
207,-0.642022614,-0.705821395,52.5,32.5,2,1,0,2,2,2,2,1,0,2
208,-0.731082806,-1.054055782,52.5,37.5,2,1,0,2,2,2,2,1,0,2
209,-0.794481041,-0.645743723,52.5,42.5,2,0,1,2,2,2,2,1,0,2
210,-0.832389411,-0.185377968,52.5,47.5,2,0,1,2,2,2,2,1,0,2
211,-0.845476537,-1.201222051,52.5,52.5,2,2,1,0,2,2,2,1,0,2
212,-0.831841689,2.036972167,52.5,57.5,2,2,1,0,2,2,2,1,0,2
213,-0.794120492,0.107774745,52.5,62.5,2,2,0,1,2,2,2,1,0,2
214,-0.730683595,-0.084108101,52.5,67.5,2,2,0,1,2,2,2,1,0,2
215,-0.641451194,0.495619642,52.5,72.5,2,2,2,1,0,2,2,1,0,2
216,-0.527312219,0.037415186,52.5,77.5,2,2,2,1,0,2,2,1,0,2
217,-0.38762278,-0.132088037,52.5,82.5,2,2,2,0,1,2,2,1,0,2
218,-0.221860706,1.476787424,52.5,87.5,2,2,2,0,1,2,2,1,0,2
219,-0.031873373,-0.21703021,52.5,92.5,2,2,2,2,1,2,2,1,0,2
220,0.183765135,-1.283602204,52.5,97.5,2,2,2,2,1,2,2,1,0,2
221,0.692717952,0.38566789,57.5,2.5,1,2,2,2,2,2,2,1,0,2
222,0.425507808,-0.351512874,57.5,7.5,1,2,2,2,2,2,2,1,0,2
223,0.183999248,-0.521796093,57.5,12.5,1,0,2,2,2,2,2,1,0,2
224,-0.032209328,-1.068131201,57.5,17.5,1,0,2,2,2,2,2,1,0,2
225,-0.222155607,0.428365903,57.5,22.5,0,1,2,2,2,2,2,1,0,2
226,-0.387643841,-0.174018234,57.5,27.5,0,1,2,2,2,2,2,1,0,2
227,-0.527080594,0.515667729,57.5,32.5,2,1,0,2,2,2,2,1,0,2
228,-0.641810952,-0.234365277,57.5,37.5,2,1,0,2,2,2,2,1,0,2
229,-0.730951926,-0.658503426,57.5,42.5,2,0,1,2,2,2,2,1,0,2
230,-0.793692783,1.250236604,57.5,47.5,2,0,1,2,2,2,2,1,0,2
231,-0.832432164,-0.271763715,57.5,52.5,2,2,1,0,2,2,2,1,0,2
232,-0.84458975,0.947951996,57.5,57.5,2,2,1,0,2,2,2,1,0,2
233,-0.832769749,-1.20158243,57.5,62.5,2,2,0,1,2,2,2,1,0,2
234,-0.794403594,-0.466116096,57.5,67.5,2,2,0,1,2,2,2,1,0,2
235,-0.73077615,-0.269351395,57.5,72.5,2,2,2,1,0,2,2,1,0,2
236,-0.641886611,-0.390965408,57.5,77.5,2,2,2,1,0,2,2,1,0,2
237,-0.526835441,1.348707012,57.5,82.5,2,2,2,0,1,2,2,1,0,2
238,-0.387567408,-0.022764701,57.5,87.5,2,2,2,0,1,2,2,1,0,2
239,-0.222243833,0.244225851,57.5,92.5,2,2,2,2,1,2,2,1,0,2
240,-0.032175097,-0.942371708,57.5,97.5,2,2,2,2,1,2,2,1,0,2
241,0.984445736,-0.729217277,62.5,2.5,1,2,2,2,2,2,2,0,1,2
242,0.692953917,0.998068909,62.5,7.5,1,2,2,2,2,2,2,0,1,2
243,0.426166503,1.258481665,62.5,12.5,1,0,2,2,2,2,2,0,1,2
244,0.184734753,1.248863689,62.5,17.5,1,0,2,2,2,2,2,0,1,2
245,-0.032263039,-1.38063705,62.5,22.5,0,1,2,2,2,2,2,0,1,2
246,-0.221915704,2.049960694,62.5,27.5,0,1,2,2,2,2,2,0,1,2
247,-0.387123567,1.01687283,62.5,32.5,2,1,0,2,2,2,2,0,1,2
248,-0.52734481,-0.026717464,62.5,37.5,2,1,0,2,2,2,2,0,1,2
249,-0.641364078,0.703607779,62.5,42.5,2,0,1,2,2,2,2,0,1,2
250,-0.731060561,-0.971385229,62.5,47.5,2,0,1,2,2,2,2,0,1,2
251,-0.794627253,-1.096156242,62.5,52.5,2,2,1,0,2,2,2,0,1,2
252,-0.832270806,0.049050451,62.5,57.5,2,2,1,0,2,2,2,0,1,2
253,-0.845476035,-1.198495857,62.5,62.5,2,2,0,1,2,2,2,0,1,2
254,-0.832199726,0.190018999,62.5,67.5,2,2,0,1,2,2,2,0,1,2
255,-0.793685727,1.2977059,62.5,72.5,2,2,2,1,0,2,2,0,1,2
256,-0.731077649,-1.033873723,62.5,77.5,2,2,2,1,0,2,2,0,1,2
257,-0.642035055,-0.738440754,62.5,82.5,2,2,2,0,1,2,2,0,1,2
258,-0.527307573,0.046563939,62.5,87.5,2,2,2,0,1,2,2,0,1,2
259,-0.387988302,-1.01759612,62.5,92.5,2,2,2,2,1,2,2,0,1,2
260,-0.222556815,-0.38328396,62.5,97.5,2,2,2,2,1,2,2,0,1,2
261,1.302845132,0.872755412,67.5,2.5,1,2,2,2,2,2,2,0,1,2
262,0.985203529,0.969545014,67.5,7.5,1,2,2,2,2,2,2,0,1,2
263,0.692717094,0.383846665,67.5,12.5,1,0,2,2,2,2,2,0,1,2
264,0.425194444,-1.851555663,67.5,17.5,1,0,2,2,2,2,2,0,1,2
265,0.184225159,-0.053996737,67.5,22.5,0,1,2,2,2,2,2,0,1,2
266,-0.03131935,1.064773214,67.5,27.5,0,1,2,2,2,2,2,0,1,2
267,-0.221997482,0.813195037,67.5,32.5,2,1,0,2,2,2,2,0,1,2
268,-0.387652238,-0.190816474,67.5,37.5,2,1,0,2,2,2,2,0,1,2
269,-0.52754849,-2.699929809,67.5,42.5,2,0,1,2,2,2,2,0,1,2
270,-0.641661949,0.060966639,67.5,47.5,2,0,1,2,2,2,2,0,1,2
271,-0.730365011,0.573751697,67.5,52.5,2,2,1,0,2,2,2,0,1,2
272,-0.794151893,0.04580358,67.5,57.5,2,2,1,0,2,2,2,0,1,2
273,-0.832216049,0.15741254,67.5,62.5,2,2,0,1,2,2,2,0,1,2
274,-0.844789974,0.431565373,67.5,67.5,2,2,0,1,2,2,2,0,1,2
275,-0.832492042,-0.396549736,67.5,72.5,2,2,2,1,0,2,2,0,1,2
276,-0.793684081,1.309978226,67.5,77.5,2,2,2,1,0,2,2,0,1,2
277,-0.730410527,0.4703934,67.5,82.5,2,2,2,0,1,2,2,0,1,2
278,-0.642174074,-1.242670271,67.5,87.5,2,2,2,0,1,2,2,0,1,2
279,-0.52683203,1.381575456,67.5,92.5,2,2,2,2,1,2,2,0,1,2
280,-0.38708129,1.204458937,67.5,97.5,2,2,2,2,1,2,2,0,1,2
281,1.645913831,0.824073964,72.5,2.5,1,2,2,2,2,2,2,2,1,0
282,1.301949609,-1.662629402,72.5,7.5,1,2,2,2,2,2,2,2,1,0
283,0.984510408,-0.569306344,72.5,12.5,1,0,2,2,2,2,2,2,1,0
284,0.692828457,0.635513817,72.5,17.5,1,0,2,2,2,2,2,2,1,0
285,0.425705032,0.043722008,72.5,22.5,0,1,2,2,2,2,2,2,1,0
286,0.184425928,0.348012304,72.5,27.5,0,1,2,2,2,2,2,2,1,0
287,-0.031443538,2.459593549,72.5,32.5,2,1,0,2,2,2,2,2,1,0
288,-0.222737797,-0.818380324,72.5,37.5,2,1,0,2,2,2,2,2,1,0
289,-0.38799116,-2.113200115,72.5,42.5,2,0,1,2,2,2,2,2,1,0
290,-0.52719385,0.273695272,72.5,47.5,2,0,1,2,2,2,2,2,1,0
291,-0.64201551,-0.687596841,72.5,52.5,2,2,1,0,2,2,2,2,1,0
292,-0.730421627,0.446041053,72.5,57.5,2,2,1,0,2,2,2,2,1,0
293,-0.794544136,-0.812384724,72.5,62.5,2,2,0,1,2,2,2,2,1,0
294,-0.831888425,2.21205548,72.5,67.5,2,2,0,1,2,2,2,2,1,0
295,-0.845065298,-0.123705972,72.5,72.5,2,2,2,1,0,2,2,2,1,0
296,-0.832529236,-0.477335506,72.5,77.5,2,2,2,1,0,2,2,2,1,0
297,-0.794259283,-0.166261491,72.5,82.5,2,2,2,0,1,2,2,2,1,0
298,-0.730254855,0.862563384,72.5,87.5,2,2,2,0,1,2,2,2,1,0
299,-0.64164352,0.097340485,72.5,92.5,2,2,2,2,1,2,2,2,1,0
300,-0.527838742,-1.625616739,72.5,97.5,2,2,2,2,1,2,2,2,1,0
301,2.014037216,-0.004620768,77.5,2.5,1,2,2,2,2,2,2,2,1,0
302,1.645891049,0.760242168,77.5,7.5,1,2,2,2,2,2,2,2,1,0
303,1.302475554,0.038990913,77.5,12.5,1,0,2,2,2,2,2,2,1,0
304,0.985125261,0.735072142,77.5,17.5,1,0,2,2,2,2,2,2,1,0
305,0.692452568,-0.146472627,77.5,22.5,0,1,2,2,2,2,2,2,1,0
306,0.42565341,-0.057887335,77.5,27.5,0,1,2,2,2,2,2,2,1,0
307,0.184488369,0.482369466,77.5,32.5,2,1,0,2,2,2,2,2,1,0
308,-0.031338177,0.992943637,77.5,37.5,2,1,0,2,2,2,2,2,1,0
309,-0.2228485,-1.246395498,77.5,42.5,2,0,1,2,2,2,2,2,1,0
310,-0.387572856,-0.033487525,77.5,47.5,2,0,1,2,2,2,2,2,1,0
311,-0.52736727,-0.070962181,77.5,52.5,2,2,1,0,2,2,2,2,1,0
312,-0.642042681,-0.758920654,77.5,57.5,2,2,1,0,2,2,2,2,1,0
313,-0.731077775,-1.034359361,77.5,62.5,2,2,0,1,2,2,2,2,1,0
314,-0.794474913,-0.630731954,77.5,67.5,2,2,0,1,2,2,2,2,1,0
315,-0.832014293,0.58680772,77.5,72.5,2,2,2,1,0,2,2,2,1,0
316,-0.845208127,-0.416322656,77.5,77.5,2,2,2,1,0,2,2,2,1,0
317,-0.832654948,-0.78488781,77.5,82.5,2,2,2,0,1,2,2,2,1,0
318,-0.794092474,0.163416319,77.5,87.5,2,2,2,0,1,2,2,2,1,0
319,-0.731121068,-1.236714235,77.5,92.5,2,2,2,2,1,2,2,2,1,0
320,-0.641253076,1.045873776,77.5,97.5,2,2,2,2,1,2,2,2,1,0
321,2.407715258,-0.484595416,82.5,2.5,1,2,2,2,2,2,2,2,0,1
